Parti socialiste                     | #FF3333 | PS
Mouvement Réformateur                | #0047AB | MR
DéFI                                 | #DD0081 | DéFI
Ecolo                                | #008000 | Ecolo
Centre démocrate humaniste           | #F4761A | cdH
Parti du Travail de Belgique         | #CC0000 | PTB
Nieuw-Vlaamse Alliantie              | #FFBD66 | N-VA
Open Vlaamse Liberalen en Democraten | #0087DC | Open Vld
Vooruit                              | #DC241F | Vooruit
Parti Populaire                      | #842973 | PP
Christen-Democratisch en Vlaams      | #FF7F2E | CD&V
Groen                                | #01796F | Groen
Vlaams Belang                        | #8B4513 | VB
