GERB                                         | #0056A7 | GERB
Bulgarian Socialist Party                    | #D71921 | BSP
United Patriots                              | #000000 | OP
IMRO – Bulgarian National Movement           | #000000 | VMRO
National Front for the Salvation of Bulgaria | #1C4482 | NFSB
Attack                                       | #B97B1F | Ataka
Alternative for Bulgarian Revival            | #6A013A | ABV
Movement for Rights and Freedoms             | #0066B7 | DPS
Volya                                        | #00718F | Volya
Reformist Bloc                               | #1D2D5A | RB
Democratic Bulgaria                          | #004A80 | DB
Democrats for a Strong Bulgaria              | #1E2A5B | DSB
Yes, Bulgaria!                               | #518254 | YB
There Are Such People                        | #4BB9DE | ITN
Stand Up! Mutri out!                         | #5BA546 | ISMV
Revival                                      | #C09F62 | V
Republicans for Bulgaria                     | #2B4A99 | RzB
Volya–NFSB                                   | #00718F | Vo–NFSB
The Bulgarian Patriots                       | #000000 | BP
