FDP.The Liberals                           | #0073EA | FDP PLR PLD
Swiss People's Party                       | #018D50 | SVP UDC PPS
Social Democratic Party                    | #F41760 | SP PS
The Center                                 | #FF9529 | DM LC ADC
Green Party                                | #00DD01 | GPS PES 
Green Liberal Party                        | #9AFD23 | GLP PVL
Evangelical People's Party                 | #FFD33E | EVP PEV
Ticino League                              | #0A3859 | LEGA
Federal Democratic Union                   | #952E59 | EDU UDF
Christian Social Party                     | #0C8788 | CSP PCS
Christian Social Party of Obwalden         | #F7B577 | CSPOW
Swiss Party of Labour                      | #F90205 | PDA PST-POP PDL-POP PSL
SolidaritieS                               | #DF172D | SOL
Geneva Citizens' Movement                  | #FECB0D | MCG
Christian Democratic People's Party        | #FF9529 | CVP PDC PPD PCD
Conservative Democratic Party              | #FFFF00 | BDP PBD
Freedom Party                              | #330033 | FPS PSL
Swiss Democrats                            | #61380B | SD DS
