Δημοκρατικός Συναγερμός                  | #1569C7 | ΔΗΣΥ
Ανορθωτικό Κόμμα Εργαζόμενου Λαού        | #B31B1B | ΑΚΕΛ
Δημοκρατικό Κόμμα                        | #FF7E00 | ΔΗΚΟ
Εθνικό Λαϊκό Μέτωπο                      | #000000 | ΕΛΑΜ
Κίνημα Σοσιαλδημοκρατών                  | #164F46 | ΕΔΕΚ
Συμμαχία Πολιτών                         | #9AB973 | ΣΥΠΟΛ
Κίνημα Οικολόγων—Συνεργασία Πολιτών      | #7FFF00 | ΚΟΣΠ
Κίνημα Αλληλεγγύη                        | #004B91 | ΚΑ
ημοκρατική Παράταξη                      | #FF7E00 | ΔΙΠΑ
Κίνημα Σοσιαλδημοκρατών–Συμμαχία Πολιτών | #164F46 | ΕΔΕΚ–ΣΥΠΟΛ
Ανεξάρτητοι                              | #442464 | Ανεξ
