ANO 2011                                                                           | #261060 | ANO
Občanská demokratická strana                                                       | #034EA2 | ODS
Česká pirátská strana                                                              | #000000 | Piráti
Svoboda a přímá demokracie                                                         | #1076BC | SPD
Komunistická strana Čech a Moravy                                                  | #CC0000 | KSČM
Česká strana sociálně demokratická                                                 | #EC5800 | ČSSD
Křesťanská a demokratická unie–Československá strana lidová                        | #FFD700 | KDU–ČSL
TOP 09                                                                             | #993366 | TOP 09
Starostové a nezávislí                                                             | #7EC192 | STAN
Strana svobodných občanů                                                           | #009682 | S
Strana zelených                                                                    | #60B44C | Z
Trikolóra hnutí občanů                                                             | #034EA2 | THO
TOP 09–Starostové a nezávislí–Strana zelených                                      | #993366 | T–S–Z
SPOLU                                                                              | #232C77 | SPOLU
Česká pirátská strana–Starostové a nezávislí                                       | #000000 | Pir–STAN
Trikolóra hnutí občanů–Strana svobodných občanů–Strana soukromníků České republiky | #034EA2 | T–S–SsČR
Přísaha                                                                            | #0033FF | P
