Socialdemokraterne          | #CE0C2E | A
Dansk Folkeparti            | #E4BD4A | O
Venstre                     | #005392 | V
Enhedslisten–De Rød-Grønne  | #C4163F | Ø
Liberal Alliance            | #FA4800 | I
Alternativet                | #00FF00 | Å
Radikale Venstre            | #E7007F | B
Socialistisk Folkeparti     | #A30000 | F
Det Konservative Folkeparti | #034536 | C
Kristendemokraterne         | #FF9900 | K
Nye Borgerlige              | #00868B | D
Borgerlisten                | #557D7A | E
Stram Kurs                  | #0198E1 | P
Veganerlisten               | #80A51A | G
