Partido Popular                                    | #1D84CE | PP
Partido Socialista Obrero Español                  | #EF1C27 | PSOE
Unidos Podemos                                     | #7B4977 | UP
Ciudadanos–Partido de la Ciudadanía                | #EB6109 | Cs
Esquerra Republicana de Catalunya–Catalunya Sí     | #FFB232 | ERC
Partit Demòcrata Europeu Català                    | #0263AC | PDeCAT
Euzko Alderdi Jeltzalea/Partido Nacionalista Vasco | #4AAE4A | PNV
Partido Animalista Contra el Maltrato Animal       | #ADBE18 | PACMA
Euskal Herria Bildu                                | #B5CF18 | EH Bildu
Coalición Canaria–Partido Nacionalista Canario     | #FFD700 | CC
Vox                                                | #63BE21 | Vox
Coalició Compromís                                 | #EC8953 | Comp
Bloque Nacionalista Galego–Nós Candidatura Galega  | #ADCFEF | BNG
Coalición por Europa                               | #2D0680 | CEU
Ahora Repúblicas                                   | #FFB232 | AR
Primavera Europea                                  | #009150 | PE
Sumar                                              | #EF4B91 | Sumar
