Macron        | #FFD700 | Macron
Le Pen        | #000000 | Le Pen
Pécresse      | #3399FF | Pécresse
Zemmour       | #D3D3D3 | Zemmour
Mélenchon     | #990000 | Mélenchon
Hidalgo       | #FF0000 | Hidalgo
Jadot         | #009900 | Jadot
Dupont-Aignan | #0000FF | Dupont-Aignan
Lassalle      | #D3D3D3 | Lassalle
Poutou        | #990000 | Poutou
Arthaud       | #D3D3D3 | Arthaud
Roussel       | #990000 | Roussel
Montebourg    | #D3D3D3 | Montebourg
Asselineau    | #D3D3D3 | Asselineau
Philippot     | #A9A9A9 | Philippot
Taubira       | #F0C200 | Taubira
