Lutte Ouvrière                                                    | #E02839 | LO
Nouveau Parti anticapitaliste                                     | #CC071E | NPA
Parti communiste français                                         | #FF0000 | PCF
La France insoumise                                               | #C84529 | FI
Génération·s, le mouvement                                        | #CD3266 | G·s
Europe Écologie Les Verts                                         | #00C000 | EELV
Parti socialiste                                                  | #FF3366 | PS
La République en marche–Mouvement démocrate                       | #FFD600 | LREM–Modem
Agir, la droite constructive–Union des démocrates et indépendants | #00AAEE | Agir–UDI
Résistons!                                                        | #FFCC33 | R!
Les Républicains                                                  | #0066CC | LR
Debout la France                                                  | #8040C0 | DLF
Rassemblement national                                            | #0D378A | RN
Les Patriotes                                                     | #FF9101 | LP
Union populaire républicaine                                      | #057C85 | UPR
Mouvement des gilets jaunes                                       | #CCFF00 | GJ
