ქართული ოცნება – დემოკრატიული საქართველო   | #004A99 | ოცნ/GD
ერთიანი ნაციონალური მოძრაობა               | #8B0000 | ენმ/UNM
ევროპული საქართველო                        | #ED1A3B | ევსაქ/EG
საქართველოს ლეიბორისტული პარტია            | #003C7B | სლპ/SLP
საქართველოს პატრიოტთა ალიანსი              | #E7B031 | პატრ/APG
დემოკრატიული მოძრაობა — ერთიანი საქართველო | #145FAD | ესდმ/DMUG
მოქალაქეები                                | #7CFC07 | მოქ/Ci
გირჩი                                      | #327F37 | გირჩი/Gi
ლელო საქართველოსთვის                       | #FFD400 | ლელო/Lelo
შენების მოძრაობა                           | #8F188F | შმ/DM
სტრატეგია აღმაშენებელი                     | #FF0025 | სა/SB
საქართველოსთვის                            | #4B2A75 | ForGeo
