Συνασπισμός Ριζοσπαστικής Αριστεράς     | #FA8072 | ΣΥΡΙΖΑ
Νέα Δημοκρατία                          | #005AC0 | ΝΔ
Χρυσή Αυγή                              | #00022D | ΧΑ
Κίνημα Αλλαγής                          | #DD2239 | ΚΑ
Κομμουνιστικό Κόμμα Ελλάδας             | #C80000 | ΚΚΕ
Το Ποτάμι                               | #9C514A | Ποτάμι
Ανεξάρτητοι Έλληνες                     | #38A3E7 | ΑΝΕΛ
Ένωση Κεντρώων                          | #FF7F50 | ΕΚ
Λαϊκή Ενότητα                           | #B01740 | ΛΑΕ
Πλεύση Ελευθερίας                       | #9F1897 | ΠΕ
Ελληνική Λύση                           | #80DAEB | ΕΛ
Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής | #EF3FE1 | ΜέΡΑ25
Εθνικό Κόμμα - Έλληνες                  | #88899c | ΕΚΕ
Εθνική Δημιουργία                       | #202020 | ΕΔ
ΕΑΝ…                                    | #9394A5 | ΕΑΝ
Δημοκρατικό Πατριωτικό Κίνημα ΝΙΚΗ      | #9FA0AF | Ν
