Hrvatska demokratska zajednica                    | #005BAA | HDZ
Socijaldemokratska partija Hrvatske               | #ED1C24 | SDP
Most nezavisnih lista                             | #FF7000 | Most
Živi zid                                          | #FBEC5D | ŽZ
Hrvatska narodna stranka–liberalni demokrati      | #FECE68 | HNS
Hrvatska seljačka stranka                         | #3D863D | HSS
Bandić Milan 365–Stranka rada i solidarnosti      | #50AF66 | BM 365
Istarski demokratski sabor                        | #61CD10 | IDS
Pametno                                           | #00009A | P
Stranka antikorupcije, razvoja i transparentnosti | #DDDDDD | START
Građansko-liberalni savez                         | #067CBF | GLAS
Neovisni za Hrvatsku                              | #08457E | NHR
Amsterdamska koalicija                            | #D71066 | AK
Hrvatska konzervativna stranka                    | #002366 | HKS
