Movimento 5 Stelle  | #FFEB3B | M5S
Partito Democratico | #EF1C27 | PD 
Lega Nord           | #008000 | Lega
Forza Italia        | #0087DC | FI 
Fratelli d’Italia   | #03386A | FdI
La Sinistra         | #C72837 | LS
Più Europa          | #FFD700 | +E 
Europa Verde        | #73C170 | EV 
Cambiamo!           | #E58321 | C! 
Azione              | #003399 | A
Italia Viva         | #FFAE32 | IV 
Noi con l’Italia    | #1F6BB8 | NcI
Potere al Popolo    | #A0142E | PaP
CasaPound Italia    | #000000 | CPI
Coraggio Italia     | #312783 | CI
