Sociāldemokrātiskā Partija “Saskaņa”                             | #ED1C24 | SDPS
Par cilvēcīgu Latviju                                            | #808080 | PCL
Jaunā konservatīvā partija                                       | #182955 | JKP
Attīstībai/Par!                                                  | #FFFF00 | AP!
Nacionālā apvienība „Visu Latvijai!”–„Tēvzemei un Brīvībai/LNNK” | #EFC800 | NA
Zaļo un Zemnieku savienība                                       | #258B4C | ZZS
Jaunā Vienotība                                                  | #99CC33 | JV
Latvijas Reģionu apvienība                                       | #1D2951 | LRA
Latvijas Krievu savienība                                        | #2A52BE | LKS
Progresīvie                                                      | #E64632 | P
Jaunā Saskaņa                                                    | #A3001D | JS
Likums un kārtība                                                | #221D1F | LuK
