Democratic Party of Socialists of Montenegro | #F58634 | DPS
For the Future of Montenegro                 | #4682B4 | ZbCG
DF+PCG                                       | #00008B | DF+PCG
Democratic Front                             | #00008B | DF
True Montenegro                              | #BF0D14 | PCG
For Benefit of All                           | #3277BA | Dsi
Socialist People's Party of Montenegro       | #0195DF | SNP
United Montenegro                            | #6495ED | UCG
United Reform Action                         | #041B42 | URA
Peace is Our Nation                          | #FFAE42 | MjNN
DEMOS                                        | #89CFF0 | DEMOS
Democratic Montenegro                        | #FF4000 | DCG
Social Democratic Party of Montenegro        | #E90007 | SDP
Social Democrats of Montenegro               | #F08080 | SD
Bosniak Party                                | #32CD32 | BS
Albanian List                                | #0F48C5 | AL
New Democratic Force                         | #1E90FF | Forca
Albanian Alternative                         | #00008B | AA
