Volkspartij voor Vrijheid en Democratie | #21276A | VVD
Partij voor de Vrijheid                 | #21468B | PVV
Christen-Democratisch Appèl             | #007C5E | CDA
Democraten 66                           | #00B13D | D66
GroenLinks                              | #83BD00 | GL
Socialistische Partij                   | #EE161F | SP
Partij van de Arbeid                    | #E12B1A | PvdA
ChristenUnie                            | #00A7EB | CU
Partij voor de Dieren                   | #006B28 | PvdD
50Plus                                  | #932390 | 50+
Staatkundig Gereformeerde Partij        | #E95D0F | SGP
Denk                                    | #34C1C4 | DENK
Forum voor Democratie                   | #841818 | FvD
Partij voor de Toekomst                 | #F2B636 | PvdT
Piratenpartij                           | #580091 | PP
Bij1                                    | #FF8C00 | B1
Juiste Antwoord 2021                    | #242B57 | JA21
Code Oranje                             | #EF7601 | CO
Volt Europa                             | #5E2A83 | Volt
BoerBurgerBeweging                      | #95C11F | BBB
