Partidul Social Democrat                       | #ED2128 | PSD
Partidul Alianța Liberalilor și Democraților   | #075697 | ALDE
Uniunea Salvați România                        | #00AAE7 | USR
Partidul Național Liberal                      | #FFDD00 | PNL
Uniunea Democrată Maghiară din România         | #296633 | UDMR
Partidul Mișcarea Populară                     | #A7CF35 | PMP
Partidul Libertății, Unității și Solidarității | #FF5000 | PLUS
PRO România                                    | #1572BA | PRO
Alianța 2020 USR-PLUS                          | #00AAE7 | A2020
Alianța pentru Unirea Românilor                | #FCC224 | AUR
Partidul Puterii Umaniste (social-liberal)     | #66CCFF | PPU-SL
