Slovenska demokratska stranka              | #FFD500 | SDS
Lista Marjana Šarca                        | #1980C7 | LMŠ
Socialni demokrati                         | #DD0000 | SD
Stranka modernega centra                   | #1E90FF | SMC
Levica                                     | #800000 | L
Nova Slovenija–Krščanski demokrati         | #1DACD6 | NSi
Stranka Alenke Bratušek                    | #1E90FF | SAB
Demokratična stranka upokojencev Slovenije | #8DC63F | DeSUS
Slovenska nacionalna stranka               | #FFE721 | SNS
Slovenska ljudska stranka                  | #808000 | SLS
Piratska stranka Slovenije                 | #D2691E | PSS
Dobra država                               | #006899 | DD
Gibanje Svoboda                            | #008000 | GS
Lista Roberta Goloba                       | #EAECF0 | LRG
Konkretno                                  | #000099 | K
Povežimo Slovenijo                         | #FED36C | PoS
Zelena dejanja                             | #4A7729 | Z.DEJ
Naša dežela                                | #479A2E | ND
