Adalet ve Kalkınma Partisi   | #777777 | AKP
Cumhuriyet Halk Partisi      | #FF0000 | CHP
Halkların Demokratik Partisi | #FF0000 | HDP
Milliyetçi Hareket Partisi   | #777777 | MHP
İYİ Parti                    | #FFD700 | İYİ
Saadet Partisi               | #999999 | SP
Gelecek Partisi              | #999999 | GP
Demokrasi ve Atılım Partisi  | #999999 | DEVA
Memleket Hareketi            | #029C02 | HM
Yeniden Refah Partisi        | #FF3333 | YRP
Türkiye İşçi Partisi         | #D51B28 | TİP
Zafer Partisi                | #FF2001 | ZP
Yeşil Sol Parti              | #388537 |YSP
