Polling firm                      | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB  | BSP   | OP   | VMRO | NFSB | Attack | ABV | DPS   | Volya | RB  | DB   | DSB | YB  | ITN   | ISMV | V    | RzB | Vo–NFSB | BP  | PP   | BV  | PP–DB | Lev! | NDSV | Other
Trend                             | 24 chasa      | 2023-09-02      | 2023-09-08    | NE    | 1002        | 93.5          | 0.1       | 26.6  | 9.3   | N/A  | N/A  | N/A  | N/A    | N/A | 14.3  | N/A   | N/A | N/A  | N/A | N/A | 4.5   | N/A  | 17.2 | N/A | N/A     | N/A | N/A  | 2.2 | 19.6  | 2.0  | N/A  | 4.2
Market LINKS                      | bTV           | 2023-08-11      | 2023-08-18    | NE    | 1012        | 97.0          | 0.1       | 27.1  | 8.6   | N/A  | N/A  | N/A  | N/A    | N/A | 15.6  | N/A   | N/A | N/A  | N/A | N/A | 5.6   | N/A  | 13.2 | N/A | N/A     | N/A | N/A  | N/A | 22.4  | N/A  | N/A  | 7.4
Mediana                           | N/A           | 2023-07-18      | 2023-07-24    | NE    | 976         | N/A           | 0.1       | 25.7  | 9.9   | N/A  | N/A  | N/A  | N/A    | N/A | 14.2  | N/A   | N/A | N/A  | N/A | N/A | 6.0   | N/A  | 17.0 | N/A | N/A     | N/A | N/A  | 2.7 | 19.9  | 2.3  | N/A  | 2.2
Trend                             | 24 chasa      | 2023-07-04      | 2023-07-11    | NE    | 1001        | 93.7          | 0.1       | 26.5  | 9.2   | N/A  | N/A  | N/A  | N/A    | N/A | 14.6  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 16.5 | N/A | N/A     | N/A | N/A  | 1.9 | 20.4  | 2.0  | N/A  | 4.6
Gallup International              | N/A           | 2023-06-29      | 2023-07-09    | NE    | 809         | N/A           | 0.1       | 26.4  | 9.7   | N/A  | N/A  | N/A  | N/A    | N/A | 14.5  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 14.9 | N/A | N/A     | N/A | N/A  | 2.0 | 21.8  | N/A  | N/A  | 6.4
Centre for Analysis and Marketing | N/A           | 2023-07-03      | 2023-07-07    | NE    | 1021        | 95.5          | 0.1       | 27.4  | 9.4   | N/A  | N/A  | N/A  | N/A    | N/A | 14.0  | N/A   | N/A | N/A  | N/A | N/A | 3.9   | N/A  | 15.1 | N/A | N/A     | N/A | N/A  | 1.9 | 22.4  | 1.9  | N/A  | 3.9
Market LINKS                      | bTV           | 2023-06-22      | 2023-07-02    | NE    | 1011        | 95.4          | 0.1       | 28.8  | 9.3   | N/A  | N/A  | N/A  | N/A    | N/A | 17.8  | N/A   | N/A | N/A  | N/A | N/A | 4.0   | N/A  | 14.5 | N/A | N/A     | N/A | N/A  | N/A | 21.9  | N/A  | N/A  | 3.8
Alpha Research                    | N/A           | 2023-06-20      | 2023-06-26    | NE    | 1000        | 96.4          | 0.1       | 26.0  | 9.1   | N/A  | N/A  | N/A  | N/A    | N/A | 13.1  | N/A   | N/A | N/A  | N/A | N/A | 4.3   | N/A  | 16.0 | N/A | N/A     | N/A | N/A  | N/A | 21.0  | 2.8  | N/A  | 7.8
Exacta                            | N/A           | 2023-06-12      | 2023-06-20    | NE    | 1040        | 94.1          | 0.1       | 25.9  | 10.1  | N/A  | N/A  | N/A  | N/A    | N/A | 14.0  | N/A   | N/A | N/A  | N/A | N/A | 5.1   | N/A  | 15.7 | N/A | N/A     | N/A | N/A  | 2.0 | 21.4  | 1.9  | N/A  | 3.8
Trend                             | 24 chasa      | 2023-06-10      | 2023-06-16    | NE    | 1008        | 94.2          | 0.1       | 26.4  | 9.4   | N/A  | N/A  | N/A  | N/A    | N/A | 14.3  | N/A   | N/A | N/A  | N/A | N/A | 4.6   | N/A  | 16.2 | N/A | N/A     | N/A | N/A  | 2.3 | 20.6  | 2.0  | N/A  | 3.6
