Polling firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | FDP  | SVP  | SP   | DM  | GPS  | GLP | EVP | LEGA | EDU | CSP | CSPOW | PDA | SOL | MCG | CVP  | BDP | FPS | SD  | LPS | Other
Sotomo       | SRG/SSR       | 2022-09-26      | 2022-10-07    | N     | 21038       | N/A           | 0.1       | 16.1 | 26.1 | 16.3 | 13.3| 11.7 | 9.3 | 2.1 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | 5.1
LeeWas       | Tamedia       | 2022-08-15      | 2022-08-16    | N     | 26298       | N/A           | 0.1       | 16.4 | 25.9 | 16.2 | 13.4| 11.8 | 9.2 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | 7.1
LeeWas       | Tamedia       | 2021-12-08      | 2021-12-09    | N     | 19324       | N/A           | 0.1       | 15.4 | 27   | 16.2 | 13.3| 11.7 | 10.2| N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | 6.2 
Sotomo       | SRG/SSR       | 2021-09-29      | 2021-10-03    | N     | 27976       | N/A           | 0.1       | 13.6 | 26.6 | 15.8 | 13.3| 13.2 | 9.8 | 2.1 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | 5.6
Sotomo       | SRG/SSR       | 2020-10-23      | 2020-11-02    | N     | 19620       | N/A           | 0.1       | 15.1 | 24.1 | 16.8 | N/A | 12.2 | 9.8 | 2.6 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 11.9 | 1.9 | N/A | N/A | N/A | 5.6
Gallup       | TOP-Medien    | 2019-09-05      | 2019-10-04    | N     | 2065        | N/A           | 0.1       | 15.9 | 26.9 | 18.5 | N/A | 10.5 | 7.4 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.5 | 3.1 | N/A | N/A | N/A | 7.2
Sotomo       | SRG/SSR       | 2019-09-26      | 2019-10-02    | N     | 12107       | N/A           | 0.1       | 15.2 | 27.3 | 18.2 | N/A | 10.7 | 7.3 | 1.8 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.6 | 2.8 | N/A | N/A | N/A | 6.1
LeeWas       | Tamedia       | 2019-09-23      | 2019-09-24    | N     | 20515       | N/A           | 0.1       | 15.6 | 27.9 | 18   | N/A | 10.2 | 7.2 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.4 | 3.3 | N/A | N/A | N/A | 7.4
Sotomo       | SRG/SSR       | 2019-08-19      | 2019-08-25    | N     | 17128       | N/A           | 0.1       | 16.7 | 26.8 | 18.7 | N/A | 10.5 | 6.9 | 1.6 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.2 | 2.6 | N/A | N/A | N/A | 6
Sotomo       | SRG/SSR       | 2019-05-17      | 2019-05-27    | N     | 10388       | N/A           | 0.1       | 16.2 | 26.5 | 19.1 | N/A | 10.1 | 6.4 | 1.8 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.6 | 2.9 | N/A | N/A | N/A | 6.4
LeeWas       | Tamedia       | 2019-05-22      | 2019-05-23    | N     | 19018       | N/A           | 0.1       | 15.5 | 28.9 | 17.6 | N/A | 9.9  | 6.9 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.3 | 3.3 | N/A | N/A | N/A | 7.6
LeeWas       | Tamedia       | 2019-02-10      | 2019-02-20    | N     | 22326       | N/A           | 0.1       | 15.9 | 29.2 | 18.4 | N/A | 9.6  | 6.7 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 9.9  | 3.9 | N/A | N/A | N/A | 6.4
Sotomo       | SRG/SSR       | 2019-02-01      | 2019-02-07    | N     | 12085       | N/A           | 0.1       | 17.4 | 27   | 17.4 | N/A | 9.5  | 6.4 | 1.7 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 11.3 | 3.3 | N/A | N/A | N/A | 6
LeeWas       | Tamedia       | 2018-09-24      | 2018-09-25    | N     | 19412       | N/A           | 0.1       | 17   | 29.7 | 17.9 | N/A | 7.1  | 5.7 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 9.9  | 4   | N/A | N/A | N/A | 8.7
gfs.bern     | Ringier       | 2018-09-07      | 2018-09-19    | N     | 23652       | N/A           | 0.1       | 17.3 | 28   | 18.7 | N/A | 9.1  | 5.9 | 1.9 | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 11   | 2   | N/A | N/A | N/A | 6.1
Sotomo       | SRG/SSR       | 2018-09-13      | 2018-09-18    | N     | 14985       | N/A           | 0.1       | 17.7 | 27.4 | 19.3 | N/A | 8.7  | 5.7 | 2   | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10.1 | 3.2 | N/A | N/A | N/A | 5.9
LeeWas       | Tamedia       | 2018-06-21      | 2018-06-22    | N     | 14851       | N/A           | 0.1       | 16.4 | 29.2 | 18   | N/A | 7.2  | 5.7 | N/A | N/A  | N/A | N/A | N/A   | N/A | N/A | N/A | 10   | 4.7 | N/A | N/A | N/A | 8.8
