Polling firm             | Commissioners     | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP   | PSOE | UP   | Cs   | ERC | PDeCAT | PNV | PACMA | EH Bildu | CC  | Vox  | Cmp | BNG | CEUS | AR  | CpE | Other
Sigma Dos                | Antena 3          | 2021-08-30      | 2021-08-30    | NE    | (1000)      | N/A           | 0.1       | 28.9 | 24.8 | 9.8  | 2.9  | 3.3 | 2.1    | 1.9 | N/A   | N/A      | N/A | 14.7 | 4.0 | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2021-08-24      | 2021-08-27    | NE    | 1000        | 63.8          | 0.1       | 30.1 | 25.3 | 9.3  | 2.7  | 3.3 | 2.4    | 1.6 | N/A   | 1.2      | N/A | 14.7 | 3.4 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-08-20      | 2021-08-26    | NE    | 1422        | N/A           | 0.1       | 28.6 | 25.0 | 10.0 | 3.4  | 3.4 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 16.3 | 3.8 | 0.6 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-08-14      | 2021-08-21    | NE    | 2208        | N/A           | 0.1       | 28.5 | 25.0 | 10.2 | 3.4  | 3.4 | 2.3    | 1.7 | N/A   | 1.1      | 0.5 | 16.3 | 3.6 | 0.6 | N/A  | N/A | N/A | N/A
Celeste-Tel              | Onda Cero         | 2021-08-16      | 2021-08-20    | NE    | 1100        | 64.1          | 0.1       | 29.7 | 25.7 | 9.7  | 3.5  | 3.2 | 2.3    | 1.5 | N/A   | 1.1      | 0.4 | 14.8 | 4.5 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-08-06      | 2021-08-13    | NE    | 1399        | N/A           | 0.1       | 28.6 | 25.0 | 10.0 | 3.4  | 3.4 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 16.3 | 3.8 | 0.6 | N/A  | N/A | N/A | N/A
Data10                   | OKDiario          | 2021-08-04      | 2021-08-06    | NE    | 1000        | N/A           | 0.1       | 30.0 | 24.7 | 8.9  | 2.9  | 3.5 | 2.3    | 1.7 | N/A   | 1.2      | 0.4 | 15.3 | 4.8 | 0.6 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-07-31      | 2021-08-06    | NE    | 1170        | N/A           | 0.1       | 28.3 | 25.0 | 10.1 | 3.5  | 3.3 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 16.4 | 3.7 | 0.6 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2021-08-02      | 2021-08-04    | NE    | 1062        | 62.8          | 0.1       | 24.6 | 27.9 | 10.8 | 2.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.9 | 4.6 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-07-23      | 2021-07-30    | NE    | 877         | N/A           | 0.1       | 28.4 | 25.0 | 10.1 | 3.4  | 3.3 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 16.5 | 3.5 | 0.6 | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2021-07-26      | 2021-07-29    | NE    | 1200        | N/A           | 0.1       | 26.4 | 24.7 | 10.3 | 5.0  | 3.1 | 2.3    | 1.4 | N/A   | 0.9      | 0.4 | 16.1 | 4.5 | 0.6 | N/A  | N/A | N/A | N/A
Celeste-Tel              | Onda Cero         | 2021-07-20      | 2021-07-23    | NE    | 1100        | N/A           | 0.1       | 30.0 | 25.6 | 9.6  | 3.3  | 3.2 | 2.2    | 1.5 | N/A   | 1.1      | 0.4 | 14.9 | 4.6 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-07-16      | 2021-07-23    | NE    | 1601        | N/A           | 0.1       | 28.1 | 25.4 | 9.9  | 3.0  | 3.4 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 17.0 | 3.5 | 0.6 | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2021-07-16      | 2021-07-22    | NE    | (800)       | N/A           | 0.1       | 31.1 | 25.1 | 10.0 | 3.5  | 3.3 | 2.4    | 1.4 | N/A   | 1.1      | 0.5 | 12.4 | 3.3 | 0.6 | N/A  | N/A | N/A | N/A
Sigma Dos                | Antena 3          | 2021-07-19      | 2021-07-19    | NE    | (1000)      | N/A           | 0.1       | 28.8 | 25.1 | 10.0 | 2.8  | 3.4 | 2.1    | 1.8 | N/A   | N/A      | N/A | 14.1 | 4.8 | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2021-07-15      | 2021-07-19    | NE    | 1019        | N/A           | 0.1       | 28.0 | 24.0 | 10.5 | 4.0  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.7 | 2.5 | N/A | N/A  | N/A | N/A | N/A
Data10                   | OKDiario          | 2021-07-16      | 2021-07-17    | NE    | 1000        | N/A           | 0.1       | 30.3 | 24.5 | 9.0  | 2.3  | 3.4 | 2.3    | 1.7 | N/A   | 1.1      | 0.5 | 15.4 | 4.9 | 0.6 | N/A  | N/A | N/A | N/A
