Polling firm        | Commissioners             | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ΣΥΡΙΖΑ | ΝΔ   | ΧΑ   | ΚINAL | ΚΚΕ | Ποταμι | ΑΝΕΛ | ΕΚ  | ΛΑΕ | ΠΕ  | ΕΛ  | ΜέΡΑ25 | ΕΚΕ | ΕΔ  | ΕΑΝ | Ν   | Σπαρ | Other
MRB                 | Newsbomb                  | 2023-06-15      | 2023-06-19    | NE    | 1000        | N/A           | 0.1       | 20.0   | 41.0 | N/A  | 11.5  | 7.0 | N/A    | N/A  | N/A | N/A | 4.4 | 4.0 | 2.7    | N/A | N/A | N/A | 3.4 | 2.5  | N/A
Rass                | Action 24                 | 2023-06-13      | 2023-05-16    | NE    | 1110        | N/A           | 0.1       | 17.9   | 43.0 | N/A  | 12.3  | 8.1 | N/A    | N/A  | N/A | N/A | 4.0 | 4.1 | 2.8    | N/A | N/A | N/A | 3.0 | 2.4  | N/A
Marc                | Πρώτο ΘΕΜΑ                | 2023-06-12      | 2023-06-15    | NE    | 1853        | N/A           | 0.1       | 20.2   | 42.7 | N/A  | 11.6  | 7.2 | N/A    | N/A  | N/A | N/A | 4.1 | 3.5 | 2.4    | N/A | N/A | N/A | 3.3 | 2.4  | N/A
Metron Analysis     | Το Βήμα                   | 2023-06-09      | 2023-06-15    | NE    | 1201        | N/A           | 0.1       | 19.6   | 40.6 | N/A  | 11.6  | 6.9 | N/A    | N/A  | N/A | N/A | 4.7 | 4.7 | 2.4    | N/A | N/A | N/A | 3.9 | 1.6  | N/A
GPO                 | Παραπολιτικά              | 2023-06-12      | 2023-06-14    | NE    | 1000        | N/A           | 0.1       | 18.9   | 44.5 | N/A  | 12.4  | 6.9 | N/A    | N/A  | N/A | N/A | 3.7 | 3.7 | 2.7    | N/A | N/A | N/A | 3.1 | 2.2  | N/A
Opinion Poll        | The TOC                   | 2023-06-12      | 2023-06-14    | NE    | 1001        | N/A           | 0.1       | 20.2   | 41.4 | N/A  | 11.0  | 7.5 | N/A    | N/A  | N/A | N/A | 3.9 | 4.1 | 2.8    | N/A | N/A | N/A | 3.3 | 1.5  | N/A
Pulse RC            | ΣΚΑΪ                      | 2023-06-08      | 2023-06-12    | NE    | 1308        | N/A           | 0.1       | 19.4   | 42.2 | N/A  | 12.2  | 7.2 | N/A    | N/A  | N/A | N/A | 4.4 | 3.9 | 1.7    | N/A | N/A | N/A | 3.9 | 1.7  | N/A
Marc                | ΑΝΤ1                      | 2023-06-07      | 2023-06-11    | NE    | 1501        | N/A           | 0.1       | 19.8   | 41.9 | N/A  | 11.2  | 7.3 | N/A    | N/A  | N/A | N/A | 5.2 | 4.0 | 2.1    | N/A | N/A | N/A | 3.3 | 1.5  | N/A
Metron Analysis     | Mega TV                   | 2023-06-07      | 2023-06-10    | NE    | 1200        | N/A           | 0.1       | 19.2   | 40.3 | N/A  | 11.1  | 6.7 | N/A    | N/A  | N/A | N/A | 5.4 | 5.1 | 3.2    | N/A | N/A | N/A | 3.2 | N/A  | N/A
Alco                | Alpha TV                  | 2023-06-06      | 2023-06-10    | NE    | 1200        | N/A           | 0.1       | 19.6   | 43.1 | N/A  | 11.6  | 6.6 | N/A    | N/A  | N/A | N/A | 4.8 | 3.6 | 1.8    | N/A | N/A | N/A | 3.7 | N/A  | N/A
GPO                 | Τα Νέα                    | 2023-06-06      | 2023-06-08    | NE    | 1000        | N/A           | 0.1       | 20.9   | 43.9 | N/A  | 12.2  | 6.9 | N/A    | N/A  | N/A | N/A | 4.7 | 3.2 | 2.2    | N/A | N/A | N/A | 3.6 | N/A  | N/A
