Polling firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Sousa | Gomes | Ventura | Matias | Mayan | Ferreira | Rans | Other
Pitagórica   | N/A           | 2020-12-29      | 2021-01-10    | P     | 629         | N/A           | 0.1       | 66.7  | 10.8  | 11.0    | 4.0    | 2.3   | 3.2      | 2.1  | N/A
Intercampus  | N/A           | 2021-01-04      | 2021-01-07    | P     | 603         | N/A           | 0.1       | 59.3  | 9.5   | 9.5     | 6.4    | 2.2   | 4.4      | 2.0  | 6.6
Eurosondagem | N/A           | 2021-01-03      | 2021-01-07    | P     | 2521        | N/A           | 0.1       | 60.2  | 14.8  | 10.1    | 6.6    | 2.0   | 5.2      | 1.0  | N/A
Pitagórica   | N/A           | 2020-12-22      | 2021-01-03    | P     | 629         | N/A           | 0.1       | 67.9  | 11.4  | 11.4    | 4.3    | 2.1   | 2.6      | 0.4  | N/A
Pitagórica   | N/A           | 2020-12-17      | 2020-12-27    | P     | 629         | N/A           | 0.1       | 66.5  | 13.0  | 10.6    | 4.5    | 1.7   | 2.8      | 0.8  | N/A
Aximage      | N/A           | 2020-12-19      | 2020-12-22    | P     | 812         | N/A           | 0.1       | 61.4  | 15.4  | 8.0     | 5.6    | 1.1   | 7.5      | N/A  | 1.0
Pitagórica   | N/A           | 2020-12-17      | 2020-12-20    | P     | 629         | N/A           | 0.1       | 68.0  | 10.9  | 10.7    | 5.1    | 1.0   | 3.5      | 0.8  | 0.0
Intercampus  | N/A           | 2020-12-14      | 2020-12-18    | P     | 603         | N/A           | 0.1       | 58.4  | 12.1  | 10.9    | 4.5    | 3.2   | 3.3      | N/A  | 7.6
Eurosondagem | N/A           | 2020-12-14      | 2020-12-17    | P     | 2020        | N/A           | 0.1       | 62.5  | 13.3  | 10.5    | 6.7    | 2.0   | 5.0      | N/A  | 0.0
Pitagórica   | N/A           | 2020-12-10      | 2020-12-13    | P     | 629         | N/A           | 0.1       | 68.9  | 11.0  | 9.0     | 6.5    | 0.9   | 3.5      | 0.2  | 0.0
CESOP–UCP    | N/A           | 2020-12-04      | 2020-12-11    | P     | 1315        | N/A           | 1         | 68    | 13    | 8       | 5      | 1     | 5        | N/A  | 0
Aximage      | N/A           | 2020-11-23      | 2020-11-26    | P     | 647         | N/A           | 0.1       | 62.1  | 16.3  | 6.6     | 5.9    | 1.1   | 2.1      | 0.1  | 5.8
ICS/ISCTE    | N/A           | 2020-11-11      | 2020-11-25    | P     | 802         | N/A           | 1         | 66    | 13    | 9       | 7      | N/A   | 5        | N/A  | 0
Eurosondagem | N/A           | 2020-11-16      | 2020-11-19    | P     | 1525        | N/A           | 0.1       | 63.1  | 10.1  | 10.0    | 7.2    | 1.3   | 5.0      | N/A  | 3.3
Intercampus  | N/A           | 2020-11-09      | 2020-11-16    | P     | 622         | N/A           | 0.1       | 56.6  | 16.1  | 10.5    | 8.7    | 1.6   | 2.3      | N/A  | 4.4
Aximage      | N/A           | 2020-10-22      | 2020-10-26    | P     | 694         | N/A           | 0.1       | 62.7  | 17.2  | 7.4     | 4.7    | 1.5   | 1.6      | 0.3  | 4.4
Eurosondagem | N/A           | 2020-10-12      | 2020-10-15    | P     | 1072        | N/A           | 0.5       | 61.0  | 10.0  | 11.0    | 8.5    | 1.0   | 5.5      | N/A  | 3.0
Intercampus  | N/A           | 2020-10-06      | 2020-10-11    | P     | 618         | N/A           | 0.1       | 56.2  | 17.2  | 8.2     | 6.1    | 1.5   | 2.6      | N/A  | 8.2
ICS/ISCTE    | N/A           | 2020-09-14      | 2020-09-24    | P     | 801         | N/A           | 1         | 65    | 12    | 8       | 7      | N/A   | 6        | N/A  | 2
Intercampus  | N/A           | 2020-09-04      | 2020-09-09    | P     | 614         | N/A           | 0.1       | 60.3  | 14.0  | 9.4     | 6.2    | 0.5   | 2.9      | N/A  | 6.7
