Polling firm | Commissioners            | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PSD  | ALDE | USR  | PNL  | UDMR | PMP  | PLUS | PRO  | A2020 | AUR | Other
CURS         | N/A                      | 2020-12-17      | 2020-12-21    | NE    | 1100        | N/A           | 1         | 35   | N/A  | N/A  | 26   | 4    | 2    | N/A  | 2    | 14    | 15  | N/A
Avangarde    | N/A                      | 2020-12-10      | 2020-12-20    | NE    | 900         | N/A           | 1         | 35   | N/A  | N/A  | 26   | 5    | 2    | N/A  | 1    | 15    | 14  | N/A
IRES         | N/A                      | 2020-12-02      | 2020-12-03    | NE    | 1067        | N/A           | 1         | 35   | N/A  | N/A  | 32   | 3    | 3    | N/A  | 7    | 16    | 3   | 1
Sociopol     | N/A                      | 2020-11-28      | 2020-11-29    | NE    | 1033        | N/A           | 1         | 28   | N/A  | N/A  | 29   | 6    | 3    | N/A  | 6    | 13    | 7   | 8
IRSOP        | N/A                      | 2020-11-22      | 2020-11-28    | NE    | 1004        | N/A           | 1         | 30   | N/A  | N/A  | 33   | 5    | 3    | N/A  | 7    | 17    | N/A | 5
IMAS         | Europa FM                | 2020-11-06      | 2020-11-27    | NE    | 1010        | N/A           | 0.1       | 23.6 | 3.3  | N/A  | 28.5 | 4.7  | 4.6  | N/A  | 9.5  | 18.0  | N/A | 7.8
Verifield    | N/A                      | 2020-11-20      | 2020-11-25    | NE    | 1100        | N/A           | 0.1       | 22.0 | N/A  | N/A  | 31.3 | 5.4  | 4.8  | N/A  | 9.3  | 17.0  | N/A | 10.2
ADS          | PER                      | 2020-11-11      | 2020-11-18    | NE    | 1280        | N/A           | 0.1       | 27.3 | N/A  | N/A  | 31.2 | 5.1  | 4.8  | N/A  | 4.6  | 12.5  | N/A | 14.8
CURS         | STIRIPESURSE.RO          | 2020-11-01      | 2020-11-10    | NE    | 1067        | N/A           | 1         | 29   | 3    | N/A  | 32   | 5    | 7    | N/A  | 6    | 16    | N/A | N/A
BCS          | PMP                      | 2020-10-25      | 2020-10-30    | NE    | 1482        | N/A           | 0.1       | 28.6 | N/A  | N/A  | 32.2 | 4.8  | 7.4  | N/A  | 5.2  | 17.6  | N/A | 4.2
IMAS         | Europa FM                | 2020-10-07      | 2020-10-28    | NE    | 1010        | N/A           | 0.1       | 21.7 | 2.5  | N/A  | 32.6 | 5.1  | 4.8  | N/A  | 8.9  | 20.4  | N/A | 4.3
CURS         | STIRIPESURSE.RO          | 2020-10-08      | 2020-10-11    | NE    | 800         | N/A           | 1         | 31   | 3    | N/A  | 32   | 5    | 6    | N/A  | 6    | 12    | N/A | 5
IMAS         | Europa FM                | 2020-09-07      | 2020-09-23    | NE    | 1010        | N/A           | 0.1       | 19.6 | 3    | N/A  | 34.7 | 5.3  | 4.5  | N/A  | 9.5  | 17    | N/A | 6.4
IMAS         | Europa FM                | 2020-08-06      | 2020-08-26    | NE    | 1010        | N/A           | 0.1       | 20.8 | 2.4  | N/A  | 33.6 | 5.7  | 4.1  | N/A  | 10.6 | 18.3  | N/A | 4.6
CURS         | N/A                      | 2020-07-29      | 2020-08-05    | NE    | 1100        | N/A           | 1         | 28   | 5    | N/A  | 31   | 4    | 5    | N/A  | 7    | 14    | N/A | 6
IMAS         | Europa FM                | 2020-07-10      | 2020-07-29    | NE    | 1010        | N/A           | 0.1       | 23.4 | 3.4  | N/A  | 33.4 | 5.6  | 3.9  | N/A  | 9.7  | 17.2  | N/A | 3.4
CURS         | STIRIPESURSE.RO          | 2020-06-19      | 2020-06-30    | NE    | 1100        | N/A           | 1         | 28   | 5    | N/A  | 32   | 5    | 5    | N/A  | 7    | 16    | N/A | 2
IMAS         | Europa FM                | 2020-06-05      | 2020-06-27    | NE    | 1010        | N/A           | 0.1       | 21.9 | 4.7  | 18.1 | 33   | 3.7  | 11.2 | 3.4  | 4    | N/A   | N/A | 11.1
Avangarde    | N/A                      | 2020-05-15      | 2020-05-26    | NE    | 1000        | N/A           | 1         | 29   | 4    | N/A  | 35   | 5    | 4    | N/A  | 6    | 13    | N/A | 4
IMAS         | Europa FM                | 2020-05-08      | 2020-05-27    | NE    | 1010        | N/A           | 0.1       | 23   | 4.2  | 11.6 | 32.6 | 5.1  | 3.7  | 5.1  | 11.2 | N/A   | N/A | 3.1
INSCOP       | N/A                      | 2020-05-15      | 2020-05-20    | NE    | 1132        | N/A           | 0.1       | 17.5 | 3.5  | 10.2 | 25.5 | 3.6  | 6.3  | 6.0  | 0.7  | N/A   | N/A | 7.0
PSD          | N/A                      | 2020-05-21      | 2020-05-21    | NE    | N/A         | N/A           | 1         | 27   | 4    | 16   | 35   | 4    | 4    | 2    | 8    | N/A   | N/A | N/A
BCS          | N/A                      | 2020-05-01      | 2020-05-07    | NE    | 1545        | N/A           | 0.1       | 22.5 | 6.5  | 22.0 | 33.0 | 1.4  | 5.1  | 5.3  | 4.3  | N/A   | N/A | 10.5
IMAS         | Europa FM                | 2020-04-06      | 2020-04-24    | NE    | 1010        | N/A           | 0.1       | 24.8 | 4.4  | 10.8 | 33.0 | 5.5  | 3.4  | 5.1  | 8.2  | N/A   | N/A | 4.8
Avangarde    | STIRIPESURSE.RO          | 2020-04-06      | 2020-04-12    | NE    | 915         | N/A           | 1         | 28   | 4    | N/A  | 37   | 4    | 3    | N/A  | 5    | 15    | N/A | 1
BCS          | N/A                      | 2020-04-11      | 2020-04-15    | NE    | 1008        | N/A           | 0.1       | 22.9 | 2.5  | N/A  | 31.3 | 3.6  | 6.7  | N/A  | 8.8  | 20    | N/A | 1
IMAS         | Europa FM                | 2020-03-05      | 2020-03-26    | NE    | 1010        | N/A           | 0.1       | 23.9 | 3.5  | 12.5 | 36.7 | 4.5  | 3.5  | 6.5  | 5.8  | N/A   | N/A | 3.0
IMAS         | Europa FM                | 2020-02-11      | 2020-02-28    | NE    | 1010        | N/A           | 0.1       | 25.8 | 4.3  | 10.0 | 40.7 | 4.4  | 3.6  | 3.5  | 4.6  | N/A   | N/A | 3.1
CURS         | STIRIPESURSE.RO          | 2020-01-20      | 2020-01-30    | NE    | 1229        | N/A           | 1         | 26   | 4    | N/A  | 37   | 5    | 4    | N/A  | 6    | 14    | N/A | 1
IMAS         | Europa FM                | 2020-01-13      | 2020-01-31    | NE    | 1011        | N/A           | 0.1       | 20.6 | 3.2  | 12.3 | 47.4 | 4.7  | 1.8  | 3.4  | 3.8  | N/A   | N/A | 2.7
Sociopol     | N/A                      | 2019-12-13      | 2019-12-18    | NE    | 1000        | N/A           | 1         | 23   | 2    | 13   | 47   | 4    | 3    | N/A  | 5    | N/A   | N/A | 3
IMAS         | Europa FM                | 2019-12-04      | 2019-12-18    | NE    | 1011        | N/A           | 0.1       | 18.5 | 3.5  | 11.5 | 45.0 | 5.0  | 3.0  | 3.5  | 6.4  | N/A   | N/A | 4.6
CURS         | STIRIPESURSE.RO          | 2019-12-12      | 2019-12-17    | NE    | 1067        | N/A           | 1         | 31   | 4    | N/A  | 35   | 4    | 5    | N/A  | 6    | 14    | N/A | 1
IMAS         | Europa FM                | 2019-11-11      | 2019-11-27    | NE    | 1011        | N/A           | 0.1       | 21.3 | 3.3  | 12.6 | 39.0 | 4.2  | 2.9  | 5.6  | 6.4  | N/A   | N/A | 4.7
USR          | N/A                      | 2019-10-25      | 2019-11-03    | NE    | 1225        | N/A           | 0.1       | 24.0 | N/A  | N/A  | 38.2 | 4.5  | 4.3  | N/A  | 4.8  | 20    | N/A | 4.2
IMAS         | Europa FM                | 2019-10-08      | 2019-10-28    | NE    | 1010        | N/A           | 0.1       | 21.2 | 4.3  | 16.4 | 29.6 | 5.5  | 3.4  | 4.5  | 10.7 | N/A   | N/A | 4.4
USR          | N/A                      | 2019-10-15      | 2019-10-23    | NE    | (1225)      | N/A           | 0.1       | 24.9 | 4.0  | 19.9 | 36.8 | N/A  | 6.5  | 4.0  | 3.9  | N/A   | N/A | 11.9
BCS          | N/A                      | 2019-10-12      | 2019-10-19    | NE    | 1117        | N/A           | 0.1       | 23.8 | 5.6  | 16.8 | 36.3 | 3.3  | 5.6  | 5.7  | 2.9  | N/A   | N/A | 12.5
IMAS         | Europa FM                | 2019-09-05      | 2019-09-28    | NE    | 1010        | N/A           | 0.1       | 20.5 | 6.4  | 18.8 | 29.2 | 5.5  | 3.4  | 5.4  | 9.5  | N/A   | N/A | N/A
USR          | N/A                      | 2019-09-03      | 2019-09-24    | NE    | 1500        | N/A           | 0.1       | 25.3 | 3.2  | 21.2 | 36.8 | N/A  | 5.6  | 2.9  | 5.2  | N/A   | N/A | 11.5
Socio-Data   | N/A                      | 2019-09-16      | 2019-09-20    | NE    | 1070        | N/A           | 1         | 25   | 4    | N/A  | 28   | 5    | 5    | N/A  | 9    | 22    | N/A | 2
Socio-Data   | N/A                      | 2019-09-09      | 2019-09-13    | NE    | 1070        | N/A           | 1         | 26   | 5    | N/A  | 32   | 4    | 3    | N/A  | 6    | 22    | N/A | 2
