Polling firm          | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | YeR   | KPRF  | LDPR  | SRPZP | Yabloko | DKR  | Other
CIPKR                 | Pravda        | 2021-08-09      | 2021-08-13    | N     | N/A         | N/A           | 1         | 25    | 18    | 11    | 8     | 3       | 1    | 13
NMCPSM                | Znak          | 2021-07-26      | 2021-07-30    | N     | 85000       | N/A           | 0.1       | 35.6  | 16.2  | 13.6  | 9.4   | N/A     | N/A  | N/A
CIPKR                 | Pravda        | 2021-06-27      | 2021-06-29    | N     | 1500        | N/A           | 1         | 25    | 16    | 14    | 9     | 5       | 1    | 8
CIPKR                 | Pravda        | 2021-04-01      | 2021-04-30    | N     | N/A         | N/A           | 1         | 42    | 14    | 12    | 10    | 3       | 1    | 5
INSOMAR               | N/A           | 2021-03-22      | 2021-03-22    | N     | 1600        | N/A           | 1         | 44    | 21    | 12    | 11    | 5       | 0    | 6
Levada Centre         | N/A           | 2021-02-18      | 2021-02-24    | N     | 1601        | N/A           | 0.1       | 37.5  | 13.9  | 16.7  | 7.0   | 1.0     | 2.8  | 7.0
Levada Centre         | N/A           | 2020-11-20      | 2020-11-20    | N     | 1600        | N/A           | 1         | 46    | 12    | 18    | 7     | 2       | 1    | 7
Levada Centre         | N/A           | 2020-08-20      | 2020-08-26    | N     | 1601        | N/A           | 1         | 49    | 10    | 18    | 5     | 2       | 3    | 10
Levada Centre         | N/A           | 2020-02-20      | 2020-02-26    | N     | 1600        | N/A           | 1         | 39    | 11    | 14    | 4     | 1       | 4    | 10
Levada Centre         | N/A           | 2019-12-12      | 2019-12-18    | N     | 1600        | N/A           | 1         | 41    | 13    | 11    | 4     | 1       | 4    | 9
Levada Centre         | N/A           | 2019-06-18      | 2019-06-24    | N     | 1605        | N/A           | 1         | 39    | 16    | 14    | 3     | 1       | 4    | 7
CIPKR                 | N/A           | 2018-12-20      | 2018-12-20    | N     | 1500        | N/A           | 1         | 38    | 21    | 12    | 7     | 1       | 3    | 16 
CIPKR                 | N/A           | 2018-09-01      | 2018-09-03    | N     | 1500        | N/A           | 1         | 39    | 21    | 14    | 6     | 1       | 2    | 13
Levada Centre         | N/A           | 2018-08-23      | 2018-08-30    | N     | 1600        | N/A           | 1         | 39    | 13    | 15    | 4     | 1       | 3    | 7
CIPKR                 | N/A           | 2018-08-01      | 2018-08-02    | N     | 1500        | N/A           | 1         | 30    | 22    | 16    | 7     | 2       | 1    | 17
Levada Centre         | N/A           | 2017-12-01      | 2018-12-05    | N     | 1600        | N/A           | 1         | 51    | 12    | 14    | 4     | 1       | 0    | 7
CIPKR                 | N/A           | 2017-10-09      | 2017-10-21    | N     | 1500        | N/A           | 1         | 57    | 14    | 12    | 5     | N/A     | N/A  | 3
Levada Centre         | N/A           | 2016-08-23      | 2018-08-26    | N     | 1600        | N/A           | 1         | 43    | 14    | 12    | 7     | 1       | 1    | 7
