Polling firm  | Commissioners  | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP  | CHP  | HDP  | MHP  | İYİ  | SP  | GP  | DEVA | MP  | YRP | TİP | ZP  | YSP  | Other
ORC           | N/A            | 2023-03-11      | 2023-03-15    | N     | 4540        | N/A           | 0.1       | 28.1 | 28.3 | 9.3  | 6.3  | 11.7 | N/A | 2.5 | 2.0  | 2.3 | 1.2 | 1.5 | 1.5 | N/A  | 3.7
PİAR          | N/A            | 2023-03-10      | 2023-03-31    | N     | 1460        | Self          | 0.1       | 30.8 | 32.3 | 11.6 | 7.1  | 8.3  | N/A | 3.7 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 4.1
ALF           | N/A            | 2023-03-06      | 2023-03-07    | N     | 1770        | N/A           | 0.1       | 31.0 | 31.8 | 11.3 | 6.5  | 8.9  | N/A | 1.3 | 1.5  | 2.2 | 1.9 | N/A | 1.6 | N/A  | 2.0
Aksoy         | Self           | 2023-02-27      | 2023-03-05    | N     | 1537        | N/A           | 0.1       | 31.0 | 28.4 | 10.3 | 7.2  | 12.0 | 1.4 | 0.9 | 1.4  | N/A | N/A | 1.1 | N/A | N/A  | 6.3
Aksoy         | Self           | 2023-02-23      | 2023-02-26    | N     | 1537        | N/A           | 0.1       | 32.1 | 27.3 | 12.0 | 6.8  | 13.6 | 0.8 | 0.7 | 0.9  | N/A | N/A | N/A | N/A | N/A  | 5.8
ALF           | N/A            | 2023-02-21      | 2023-02-25    | N     | 2000        | N/A           | 0.1       | 29.5 | 27.8 | 9.8  | 5.6  | 15.7 | N/A | 1.5 | 1.8  | 2.2 | 1.6 | N/A | 2.5 | N/A  | 2.0
TEAM          | N/A            | 2023-02-18      | 2023-02-20    | N     | 1930        | N/A           | 0.1       | 37.5 | 24.5 | 11.1 | 6.6  | 11.6 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 8.7
ORC           | N/A            | 2023-02-17      | 2023-02-21    | N     | 4720        | N/A           | 0.1       | 29.1 | 23.5 | 8.1  | 5.4  | 19.5 | N/A | 2.5 | 2.3  | 1.3 | 1.0 | N/A | 2.0 | N/A  | 5.3
İEA           | Self           | 2023-02-16      | 2023-02-20    | N     | 2000        | N/A           | 0.1       | 33.7 | 25.8 | 11.2 | 6.8  | 13.9 | N/A | 0.7 | 1.3  | 1.5 | 1.3 | 1.4 | 1.9 | N/A  | 0.5
ORC           | N/A            | 2023-01-23      | 2023-01-26    | N     | 4580        | N/A           | 0.1       | 30.2 | 23.1 | 7.6  | 5.5  | 19.3 | N/A | 2.7 | 2.6  | N/A | N/A | N/A | 1.8 | N/A  | 7.2
ALF           | N/A            | 2023-01-18      | 2023-01-24    | N     | 2000        | N/A           | 0.1       | 31.0 | 26.1 | 8.6  | 6.1  | 15.8 | N/A | 2.7 | 2.4  | 1.4 | N/A | N/A | 1.8 | N/A  | 4.1
