Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Democratic Unionist Party,Sinn Féin,Social Democratic and Labour Party,Ulster Unionist Party,Alliance Party of Northern Ireland,Traditional Unionist Voice,Green Party Northern Ireland,People Before Profit,Other
University of Liverpool,Irish News,2022-01-25,2022-02-07,National,1002,Provided,Not Available,0.1%,19.4%,23.2%,9.9%,14.0%,15.6%,6.4%,6.3%,Not Available,Not Available
LucidTalk,Belfast Telegraph,2022-01-14,2022-01-17,National,3112,Provided,Not Available,1%,17%,25%,11%,14%,14%,12%,3%,1%,Not Available
LucidTalk,Belfast Telegraph,2021-11-05,2021-11-11,National,3298,Provided,Not Available,1%,18%,24%,12%,14%,15%,11%,2%,2%,2%
University of Liverpool,,2021-10-21,2021-10-29,National,1002,Provided,Not Available,0.1%,20.6%,23.5%,11.4%,13%,17.3%,5.6%,3.9%,Not Available,4.7%
LucidTalk,Belfast Telegraph,2021-08-20,2021-08-23,National,2403,Provided,Not Available,1%,13%,25%,13%,16%,13%,14%,2%,2%,2%
LucidTalk,Belfast Telegraph,2021-05-14,2021-05-17,National,3072,Provided,Not Available,1%,16%,25%,12%,14%,16%,11%,2%,2%,2%
LucidTalk,Belfast Telegraph,2021-01-22,2021-01-25,National,2295,Provided,Not Available,1%,19%,24%,13%,12%,18%,10%,2%,1%,4%
LucidTalk,Belfast Telegraph,2020-10-02,2020-11-05,National,1961,Provided,Not Available,1%,23%,24%,13%,12%,16%,6%,3%,2%,1%
LucidTalk,Remain United,2019-11-27,2019-11-30,National,2422,Provided,Not Available,1%,30%,25%,13%,11%,16%,Not Available,Not Available,Not Available,5%
LucidTalk,Remain United,2019-10-30,2019-11-01,National,2386,Provided,Not Available,1%,28%,24%,14%,9%,16%,Not Available,Not Available,Not Available,9%
LucidTalk,,2019-08-09,2019-08-12,National,2302,Provided,Not Available,1%,29%,25%,8%,9%,21%,Not Available,Not Available,Not Available,8%
LucidTalk,,2019-05-18,2019-05-19,European,1482,Provided,Not Available,0.1%,21.8%,26.3%,13.3%,11.8%,11.6%,9.3%,Not Available,Not Available,7.3%
LucidTalk,,2019-05-04,2019-05-07,European,1405,Provided,Not Available,0.1%,20.2%,27.2%,13.1%,11.8%,11.3%,8.5%,Not Available,Not Available,7.9%
Survation,,2018-10-20,2018-11-02,National,555,Provided,Not Available,1%,31%,27%,11%,15%,12%,Not Available,Not Available,N.A%,4%
LucidTalk,Northern Slant,2018-02-23,2018-02-26,National,2079,Provided,Not Available,0.1%,33.6%,32.4%,8.6%,10.3%,8.0%,2.3%,1.9%,1.7%,1.5%
LucidTalk,GUE/NGL,2017-12-01,2017-12-04,National,2079,Provided,Not Available,0.1%,33.7%,32.8%,8.6%,8.9%,7.9%,1.1%,2.2%,1.1%,3.5%
LucidTalk,,2017-09-08,2017-09-11,National,2080,Provided,Not Available,0.1%,35.5%,31.2%,9.4%,9.6%,8.6%,1.3%,1.7%,1.5%,1.1%
