Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Hrvatska demokratska zajednica,Socijaldemokratska partija Hrvatske,Most nezavisnih lista,Živi zid,Hrvatska narodna stranka–liberalni demokrati,Hrvatska seljačka stranka,Bandić Milan 365–Stranka rada i solidarnosti,Istarski demokratski sabor,Pametno,"Stranka antikorupcije, razvoja i transparentnosti",Građansko-liberalni savez,Neovisni za Hrvatsku,Nezavisna lista Mislava Kolakušića,Hrvatski rast,Hrvatski suverenisti,Domovinski pokret Miroslava Škore,Amsterdamska koalicija,Hrvatska konzervativna stranka,Možemo!,Other
Promocija PLUS,,2020-06-02,2020-06-05,National,1300,Provided,88.1%,0.1%,30.2%,32.5%,4.7%,1.9%,1.2%,Not Available,1.1%,Not Available,2.0%,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,15.3%,Not Available,Not Available,Not Available,8.9%
IPSOS PULS,Dnevnik,2020-05-18,2020-05-21,National,1005,Provided,Not Available,0.1%,28.0%,24.9%,4.8%,1.9%,0.7%,Not Available,0.7%,1.8%,2.4%,2.4%,Not Available,Not Available,Not Available,Not Available,Not Available,13.5%,Not Available,Not Available,Not Available,8.6%
Promocija PLUS,,2020-05-15,2020-05-18,National,1400,Provided,Not Available,0.1%,29.7%,28.7%,4.3%,0.8%,1.4%,2.2%,1.0%,1.6%,1.7%,Not Available,0.8%,0.6%,Not Available,Not Available,0.6%,9.3%,Not Available,Not Available,Not Available,Not Available
Promocija PLUS,,2020-05-05,2020-05-08,National,1300,Provided,Not Available,0.1%,30.2%,27.8%,4.0%,1.1%,1.6%,2.7%,1.1%,1.9%,1.0%,0.5%,0.5%,0.5%,0.6%,Not Available,0.6%,10.1%,Not Available,Not Available,Not Available,1.9%
IPSOS PULS,Dnevnik,2020-04-17,2020-04-22,National,1008,Provided,Not Available,0.1%,27.9%,23.2%,5.1%,1.3%,1.0%,1.1%,1.1%,2.6%,2.8%,Not Available,Not Available,Not Available,Not Available,Not Available,1.6%,10.5%,Not Available,Not Available,Not Available,5.3%
Promocija PLUS,,2020-04-15,2020-04-18,National,1400,Provided,Not Available,0.1%,29.9%,27.4%,4.1%,1.6%,1.3%,2.1%,1.4%,1.5%,1.5%,0.9%,0.8%,0.9%,1.0%,Not Available,1.1%,9.2%,Not Available,Not Available,Not Available,Not Available
2x1 Komunikacije,CroElecto,2020-04-01,2020-04-09,National,1041,Provided,Not Available,0.1%,26.1%,30.7%,3.9%,1.2%,Not Available,Not Available,Not Available,2.0%,Not Available,Not Available,0.9%,1.1%,Not Available,Not Available,1.1%,12.5%,Not Available,Not Available,Not Available,Not Available
Promocija PLUS,,2020-03-31,2020-04-03,National,1400,Provided,Not Available,0.1%,28.4%,27.0%,3.8%,1.9%,1.3%,2.7%,1.1%,1.8%,1.2%,Not Available,Not Available,Not Available,Not Available,Not Available,1.0%,10.9%,Not Available,Not Available,Not Available,1.6%
IPSOS PULS,Dnevnik,2020-03-01,2020-03-20,National,992,Provided,Not Available,0.1%,25.2%,23.7%,4.4%,3.0%,1.3%,1.3%,1.7%,1.6%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.5%,Not Available,Not Available,Not Available,9.5%
Promocija PLUS,,2020-03-16,2020-03-19,National,1400,Provided,Not Available,0.1%,27.3%,29.3%,3.8%,1.1%,1.1%,2.5%,1.4%,1.3%,1.3%,0.8%,0.8%,0.9%,2.0%,Not Available,1.1%,10.5%,Not Available,Not Available,Not Available,Not Available
