Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Sociāldemokrātiskā Partija “Saskaņa”,Par cilvēcīgu Latviju,Jaunā konservatīvā partija,Attīstībai/Par!,Nacionālā apvienība „Visu Latvijai!”–„Tēvzemei un Brīvībai/LNNK”,Zaļo un Zemnieku savienība,Jaunā Vienotība,Latvijas Reģionu apvienība,Latvijas Krievu savienība,Progresīvie,Jaunā Saskaņa,Likums un kārtība,Latvija pirmajā vietā,Republika,Other
Berg Research,jauns.lv,2019-05-01,2019-05-21,European,805,Provided,Not Available,0.1%,18.7%,1.2%,5.0%,10.9%,16.9%,4.8%,20.2%,8.4%,8.1%,4.1%,Not Available,Not Available,Not Available,Not Available,1.7%
Factum Interactive,,2019-05-14,2019-05-20,European,915,Provided,Not Available,0.1%,14.3%,3.0%,9.5%,10.4%,17.1%,9.3%,16.1%,4.6%,4.8%,7.1%,1.0%,Not Available,Not Available,Not Available,1.0%
Factum Interactive,,2019-05-02,2019-05-09,European,948,Provided,Not Available,1%,15%,3%,11%,11%,17%,8%,13%,6%,5%,6%,2%,Not Available,Not Available,Not Available,1%
SKDS,Latvijas Televīzija,2019-05-01,2019-05-08,European,833,Estimated/Assumed,Not Available,1%,21%,2%,5%,16%,13%,6%,16%,3%,10%,6%,1%,Not Available,Not Available,Not Available,2%
Factum Interactive,,2019-04-24,2019-04-28,European,895,Provided,Not Available,1%,18%,3%,11%,12%,15%,8%,13%,5%,4%,6%,1%,Not Available,Not Available,Not Available,2%
Latvijas Fakti,,2019-04-12,2019-04-22,European,1046,Provided,Not Available,1%,22%,4%,9%,11%,12%,11%,12%,5%,5%,3%,6%,Not Available,Not Available,Not Available,Not Available
Factum Interactive,,2019-04-17,2019-04-21,European,512,Provided,Not Available,1%,18%,3%,10%,11%,16%,8%,15%,4%,4%,7%,1%,Not Available,Not Available,Not Available,Not Available
Factum Interactive,,2019-04-10,2019-04-14,European,452,Provided,Not Available,1%,20%,3%,8%,12%,14%,8%,16%,4%,4%,6%,Not Available,Not Available,Not Available,Not Available,Not Available
SKDS,Latvijas Televīzija,2019-04-01,2019-04-19,European,1000,Provided,Not Available,1%,23%,1%,4%,16%,13%,6%,18%,3%,8%,7%,Not Available,Not Available,Not Available,Not Available,Not Available
Factum Interactive,,2019-03-26,2019-04-05,European,1168,Provided,Not Available,1%,19%,3%,9%,11%,14%,9%,15%,4%,5%,6%,Not Available,Not Available,Not Available,Not Available,Not Available
Latvijas Fakti,,2019-03-03,2019-03-18,European,907,Provided,Not Available,1%,21%,Not Available,5%,10%,13%,15%,27%,5%,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
