Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Sociāldemokrātiskā Partija “Saskaņa”,Par cilvēcīgu Latviju,Jaunā konservatīvā partija,Attīstībai/Par!,Nacionālā apvienība „Visu Latvijai!”–„Tēvzemei un Brīvībai/LNNK”,Zaļo un Zemnieku savienība,Jaunā Vienotība,Latvijas Reģionu apvienība,Latvijas Krievu savienība,Progresīvie,Jaunā Saskaņa,Likums un kārtība,Other
SKDS,Latvijas Televīzija,2021-07-01,2021-07-31,National,1801,Provided,Not Available,0.1%,19.0%,1.5%,6.7%,9.4%,12.3%,12.9%,12.8%,5.9%,5.9%,5.0%,Not Available,5.7%,2.9%
Factum Interactive,,2021-07-27,2021-07-31,National,1029,Provided,54.1%,0.1%,15.8%,0.6%,5.8%,11.5%,14.4%,11.6%,16.2%,4.1%,3.4%,6.5%,Not Available,4.1%,6.0%
SKDS,Latvijas Televīzija,2021-06-01,2021-06-30,National,1793,Provided,Not Available,0.1%,19.3%,0.9%,6.0%,8.9%,14.8%,14.9%,11.5%,4.4%,5.3%,6.9%,Not Available,5.3%,1.8%
SKDS,Latvijas Televīzija,2021-05-01,2021-05-31,National,1816,Provided,Not Available,0.1%,18.3%,1.5%,8.3%,8.6%,14.2%,13.7%,11.8%,3.4%,6.3%,6.6%,Not Available,5.7%,0.6%
Factum Interactive,,2021-05-26,2021-05-31,National,576,Provided,Not Available,0.1%,17.1%,0.6%,7.8%,11.1%,13.3%,12.5%,15.9%,3.5%,3.8%,4.5%,Not Available,3.3%,0.6%
SKDS,Latvijas Televīzija,2021-04-01,2021-04-30,National,833,Estimated/Assumed,Not Available,0.1%,20.1%,0.3%,6.5%,9.4%,13.4%,12.9%,11.7%,3.3%,7.0%,7.5%,Not Available,7.0%,1.0%
Factum Interactive,,2021-04-26,2021-04-30,National,1170,Provided,Not Available,0.1%,15.2%,1.0%,7.4%,12.2%,11.9%,10.1%,16.8%,4.3%,4.1%,6.4%,Not Available,5.6%,5.1%
Latvijas Fakti,,2021-04-09,2021-04-19,National,1003,Provided,Not Available,0.1%,19.0%,2.3%,7.6%,11.0%,12.8%,15.1%,12.8%,4.5%,3.7%,5.4%,Not Available,5.6%,Not Available
Latvijas Fakti,,2021-03-01,2021-03-31,National,907,Estimated/Assumed,Not Available,0.1%,21.3%,2.6%,8.9%,10.5%,13.4%,12.6%,12.4%,4.5%,2.8%,5.7%,Not Available,5.3%,Not Available
SKDS,Latvijas Televīzija,2021-03-01,2021-03-31,National,1806,Provided,Not Available,0.1%,18.3%,Not Available,7.2%,9.4%,13.5%,11.8%,11.6%,4.8%,5.4%,7.7%,Not Available,6.8%,Not Available
Factum Interactive,,2021-03-26,2021-03-30,National,990,Provided,Not Available,0.1%,13.5%,1.3%,8.3%,13.4%,12.2%,10.7%,15.7%,3.5%,3.2%,5.6%,Not Available,5.7%,6.8%
Latvijas Fakti,,2021-02-01,2021-02-28,National,907,Estimated/Assumed,Not Available,0.1%,20.6%,1.8%,8.2%,12.9%,10.2%,17.5%,11.6%,4.1%,3.2%,5.0%,Not Available,4.8%,Not Available
Factum Interactive,,2021-02-01,2021-02-28,National,1903,Provided,Not Available,0.1%,12.0%,1.9%,8.0%,14.6%,11.1%,11.9%,15.1%,3.6%,3.9%,7.0%,Not Available,4.3%,6.5%
Factum Interactive,,2021-01-28,2021-01-31,National,1250,Provided,Not Available,0.1%,11.8%,2.5%,7.5%,14.0%,12.4%,12.3%,13.7%,3.0%,4.1%,6.8%,Not Available,3.5%,8.3%
SKDS,Latvijas Televīzija,2020-12-01,2020-12-31,National,900,Provided,Not Available,0.1%,22.0%,3.7%,10.3%,9.3%,11.3%,15.6%,8.0%,5.8%,4.1%,7.6%,Not Available,Not Available,Not Available
Factum Interactive,,2020-12-01,2020-12-17,National,2421,Provided,Not Available,0.1%,12.9%,2.0%,8.1%,13.4%,12.6%,12.6%,13.3%,3.8%,4.3%,8.4%,Not Available,Not Available,8.7%
Factum Interactive,,2020-11-11,2020-11-30,National,817,Provided,Not Available,0.1%,14.5%,1.5%,9.2%,14.8%,12.8%,11.9%,13.4%,3.9%,4.1%,6.1%,Not Available,Not Available,8.0%
SKDS,Latvijas Televīzija,2020-11-01,2020-11-30,National,833,Estimated/Assumed,Not Available,0.1%,11.6%,1.1%,4.9%,8.6%,8.2%,7%,5%,3.2%,3.6%,2.9%,Not Available,Not Available,1%
Factum Interactive,,2020-10-26,2020-10-30,National,853,Provided,Not Available,0.1%,15.0%,1.0%,8.5%,17.2%,13.0%,10.6%,13.9%,3.3%,3.6%,6.4%,Not Available,Not Available,7.6%
Factum Interactive,,2020-09-29,2020-10-04,National,442,Provided,Not Available,0.1%,14.9%,1.6%,8.1%,17.2%,12.7%,8.6%,15.2%,3.8%,3.1%,7.2%,Not Available,Not Available,7.8%
SKDS,Latvijas Televīzija,2020-10-09,2020-10-20,National,889,Provided,Not Available,0.1%,19.8%,3.3%,11.2%,13.6%,11.2%,15.6%,9.4%,5.2%,4.9%,5.8%,Not Available,Not Available,Not Available
SKDS,Latvijas Televīzija,2020-09-11,2020-09-21,National,888,Provided,Not Available,0.1%,17.3%,3.7%,10.4%,12.9%,10.5%,16.6%,11.2%,5.9%,4.4%,5.1%,Not Available,Not Available,Not Available
