Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Rebelo de Sousa,Gomes,Ventura,Matias,Mayan,Ferreira,de Rans,Other
Eurosondagem,,2021-01-18,2021-01-21,,2533,Provided,Not Available,0.1%,61.8%,13.6%,10.0%,6.0%,2.1%,4.8%,1.7%,Not Available
ICS/ISCTE,,2021-01-12,2021-01-18,,1210,Provided,Not Available,0.1%,58%,14.5%,12.5%,6%,2%,6%,1%,Not Available
Pitagórica,,2021-01-07,2021-01-18,,629,Provided,Not Available,0.1%,65.4%,12.3%,9.0%,3.5%,4.2%,3.9%,1.8%,Not Available
Aximage,,2021-01-09,2021-01-15,,1183,Provided,Not Available,0.1%,59.7%,15.4%,9.7%,4.3%,3.3%,5.0%,1.5%,1.1%
CESOP–UCP,,2021-01-11,2021-01-14,,2001,Provided,Not Available,1%,63%,14%,10%,3%,3%,5%,2%,Not Available
Pitagórica,,2020-12-29,2021-01-10,,629,Provided,Not Available,0.1%,66.7%,10.8%,11.0%,4.0%,2.3%,3.2%,2.1%,Not Available
Pitagórica,,2020-12-29,2021-01-10,,629,Provided,Not Available,0.1%,66.7%,10.8%,11.0%,4.0%,2.3%,3.2%,2.1%,Not Available
Intercampus,,2021-01-04,2021-01-07,,603,Provided,Not Available,0.1%,59.3%,9.5%,9.5%,6.4%,2.2%,4.4%,2.0%,6.6%
Eurosondagem,,2021-01-03,2021-01-07,,2521,Provided,Not Available,0.1%,60.2%,14.8%,10.1%,6.6%,2.0%,5.2%,1.0%,Not Available
Pitagórica,,2020-12-22,2021-01-03,,629,Provided,Not Available,0.1%,67.9%,11.4%,11.4%,4.3%,2.1%,2.6%,0.4%,Not Available
Pitagórica,,2020-12-17,2020-12-27,,629,Provided,Not Available,0.1%,66.5%,13.0%,10.6%,4.5%,1.7%,2.8%,0.8%,Not Available
Aximage,,2020-12-19,2020-12-22,,812,Provided,Not Available,0.1%,61.4%,15.4%,8.0%,5.6%,1.1%,7.5%,Not Available,1.0%
Pitagórica,,2020-12-17,2020-12-20,,629,Provided,Not Available,0.1%,68.0%,10.9%,10.7%,5.1%,1.0%,3.5%,0.8%,0.0%
Intercampus,,2020-12-14,2020-12-18,,603,Provided,Not Available,0.1%,58.4%,12.1%,10.9%,4.5%,3.2%,3.3%,Not Available,7.6%
Eurosondagem,,2020-12-14,2020-12-17,,2020,Provided,Not Available,0.1%,62.5%,13.3%,10.5%,6.7%,2.0%,5.0%,Not Available,0.0%
Pitagórica,,2020-12-10,2020-12-13,,629,Provided,Not Available,0.1%,68.9%,11.0%,9.0%,6.5%,0.9%,3.5%,0.2%,0.0%
CESOP–UCP,,2020-12-04,2020-12-11,,1315,Provided,Not Available,1%,68%,13%,8%,5%,1%,5%,Not Available,0%
Aximage,,2020-11-23,2020-11-26,,647,Provided,Not Available,0.1%,62.1%,16.3%,6.6%,5.9%,1.1%,2.1%,0.1%,5.8%
ICS/ISCTE,,2020-11-11,2020-11-25,,802,Provided,Not Available,1%,66%,13%,9%,7%,Not Available,5%,Not Available,0%
Eurosondagem,,2020-11-16,2020-11-19,,1525,Provided,Not Available,0.1%,63.1%,10.1%,10.0%,7.2%,1.3%,5.0%,Not Available,3.3%
Intercampus,,2020-11-09,2020-11-16,,622,Provided,Not Available,0.1%,56.6%,16.1%,10.5%,8.7%,1.6%,2.3%,Not Available,4.4%
Aximage,,2020-10-22,2020-10-26,,694,Provided,Not Available,0.1%,62.7%,17.2%,7.4%,4.7%,1.5%,1.6%,0.3%,4.4%
Eurosondagem,,2020-10-12,2020-10-15,,1072,Provided,Not Available,0.5%,61.0%,10.0%,11.0%,8.5%,1.0%,5.5%,Not Available,3.0%
Intercampus,,2020-10-06,2020-10-11,,618,Provided,Not Available,0.1%,56.2%,17.2%,8.2%,6.1%,1.5%,2.6%,Not Available,8.2%
ICS/ISCTE,,2020-09-14,2020-09-24,,801,Provided,Not Available,1%,65%,12%,8%,7%,Not Available,6%,Not Available,2%
Intercampus,,2020-09-04,2020-09-09,,614,Provided,Not Available,0.1%,60.3%,14.0%,9.4%,6.2%,0.5%,2.9%,Not Available,6.7%
Intercampus,,2020-08-06,2020-08-11,,601,Provided,Not Available,0.1%,67.7%,8.7%,10.1%,4.2%,Not Available,2.5%,Not Available,6.8%
Intercampus,,2020-07-08,2020-07-13,,620,Provided,Not Available,0.1%,70.8%,9.7%,5.0%,4.0%,Not Available,2.6%,Not Available,7.9%
Aximage,,2020-07-07,2020-07-08,,600,Provided,Not Available,1%,65%,13%,7%,4%,Not Available,1%,Not Available,8%
Eurosondagem,,2020-06-15,2020-06-18,,1072,Provided,Not Available,0.1%,69.6%,6.9%,7.2%,6.9%,Not Available,4.8%,Not Available,4.6%
Intercampus,,2020-06-09,2020-06-13,,610,Provided,Not Available,0.1%,62.6%,10.8%,9.8%,5.4%,Not Available,3.3%,Not Available,8.1%
Intercampus,,2020-05-05,2020-05-09,,620,Provided,Not Available,0.1%,64.5%,8.2%,7.4%,4.4%,Not Available,2.1%,Not Available,13.4%
Eurosondagem,,2020-04-20,2020-04-23,,1048,Provided,Not Available,0.1%,70.7%,8.4%,5.5%,7.2%,1.0%,5.2%,Not Available,2.0%
Intercampus,,2020-02-11,2020-02-17,,614,Provided,Not Available,0.1%,58.5%,8.8%,9.3%,4.6%,Not Available,2.6%,Not Available,16.2%
Intercampus,,2020-01-19,2020-01-24,,619,Provided,Not Available,0.1%,68.5%,Not Available,8.7%,7.4%,Not Available,3.2%,Not Available,12.2%
Aximage,,2019-11-29,2019-12-03,,601,Provided,Not Available,0.1%,69.6%,3.1%,2.9%,3.0%,Not Available,4.0%,Not Available,17.4%
