Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Slovenska demokratska stranka,Lista Marjana Šarca,Socialni demokrati,Stranka modernega centra,Levica,Nova Slovenija–Krščanski demokrati,Stranka Alenke Bratušek,Demokratična stranka upokojencev Slovenije,Slovenska nacionalna stranka,Slovenska ljudska stranka,Piratska stranka Slovenije,Dobra država,Zeleni Slovenije,Lista Roberta Goloba,Konkretno,Povežimo Slovenijo,Gibanje Svoboda,Naša dežela,Resni.ca,VESNA–Zelena stranka,Liberalni demokrati,Other
Mediana,POP TV,2022-12-19,2022-12-22,National,719,Provided,Not Available,0.1%,22.9%,Not Available,8.4%,Not Available,6.0%,10.4%,Not Available,Not Available,1.8%,2.2%,2.1%,Not Available,Not Available,Not Available,0.6%,Not Available,36.7%,1.1%,3.8%,2.0%,Not Available,2.0%
Ninamedia,"Dnevnik, Večer",2022-12-12,2022-12-14,National,700,Provided,Not Available,0.1%,28.9%,Not Available,11.0%,Not Available,7.0%,11.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.0%,Not Available,Not Available,Not Available,Not Available,2.3%
Mediana,Delo,2022-12-05,2022-12-08,National,718,Provided,Not Available,0.1%,23.6%,Not Available,8.2%,Not Available,4.5%,9.1%,Not Available,Not Available,1.0%,1.6%,1.5%,Not Available,Not Available,Not Available,0.0%,Not Available,42.9%,0.5%,3.8%,2.0%,Not Available,1.3%
Mediana,POP TV,2022-11-21,2022-11-24,National,723,Provided,Not Available,0.1%,24.0%,Not Available,7.8%,Not Available,5.0%,7.8%,Not Available,Not Available,2.5%,3.1%,2.4%,Not Available,Not Available,Not Available,Not Available,Not Available,40.1%,Not Available,2.6%,Not Available,Not Available,4.7%
Mediana,Delo,2022-11-07,2022-11-09,National,718,Provided,Not Available,0.1%,27.5%,Not Available,7.3%,Not Available,5.7%,8.5%,Not Available,Not Available,1.3%,1.3%,1.8%,Not Available,Not Available,Not Available,0.7%,Not Available,37.8%,1.1%,2.7%,1.5%,Not Available,2.7%
Ninamedia,"Dnevnik, Večer",2022-11-07,2022-11-10,National,700,Provided,Not Available,0.1%,29.2%,Not Available,10.2%,Not Available,7.1%,11.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.4%,Not Available,Not Available,Not Available,Not Available,3.3%
Mediana,POP TV,2022-10-17,2022-10-19,National,724,Provided,Not Available,0.1%,22.3%,Not Available,9.2%,Not Available,6.5%,9.6%,Not Available,Not Available,2.4%,0.5%,1.4%,Not Available,Not Available,Not Available,0.2%,Not Available,37.5%,1.2%,4.4%,1.5%,Not Available,3.2%
Ninamedia,"Dnevnik, Večer",2022-10-10,2022-10-13,National,1000,Provided,Not Available,0.1%,30.6%,Not Available,10.2%,Not Available,7.6%,12.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37.8%,Not Available,Not Available,Not Available,Not Available,1.4%
Mediana,Delo,2022-10-03,2022-10-06,National,719,Provided,Not Available,0.1%,27.2%,Not Available,7.3%,Not Available,7.1%,7.9%,Not Available,Not Available,1.0%,1.6%,2.1%,Not Available,Not Available,Not Available,1.4%,Not Available,36.2%,0.6%,4.0%,1.0%,Not Available,2.6%
Valicon,RTV SLO,2022-09-26,2022-09-28,National,1533,Provided,Not Available,0.1%,22.7%,Not Available,6.6%,Not Available,8.3%,7.1%,Not Available,Not Available,2.2%,Not Available,3.9%,Not Available,Not Available,Not Available,Not Available,2.1%,34.4%,1.1%,6.2%,1.9%,0%,3.5%
